"pub_utc_date","year","month","day","hour","polygon_slug","uuid","pubmillis","country","city","street","type","subtype","roadtype","longitude","latitude","nthumbsup","reliability","reportrating","confidence","magvar","reportdescription"
"2019-06-16 18:30:00.000","2019","6","16","18","4_old","2b995b76-2aa5-3fbd-a224-187dcd0d52a7","1560706449861","UY","Montevideo","Av. Millán","WEATHERHAZARD","HAZARD_WEATHER_FLOOD",,"-56.232357","-34.828459","0","5","3","0","114",
"2019-06-16 02:00:00.000","2019","6","16","2","4_old","aa78340c-d6f8-3411-8171-bc24d0ea4be9","1560647354173","UY","Montevideo","Av. Italia","WEATHERHAZARD","HAZARD_WEATHER_FLOOD","2","-56.070735","-34.878571","0","5","3","0","249",
"2019-06-16 17:55:00.000","2019","6","16","17","4_old","2b995b76-2aa5-3fbd-a224-187dcd0d52a7","1560706449861","UY","Montevideo","Av. Millán","WEATHERHAZARD","HAZARD_WEATHER_FLOOD",,"-56.232357","-34.828459","0","5","3","0","114",
"2019-06-16 17:56:00.000","2019","6","16","17","4_old","2b995b76-2aa5-3fbd-a224-187dcd0d52a7","1560706449861","UY","Montevideo","Av. Millán","WEATHERHAZARD","HAZARD_WEATHER_FLOOD",,"-56.232357","-34.828459","0","5","3","0","114",
"2019-06-16 18:27:00.000","2019","6","16","18","4_old","2b995b76-2aa5-3fbd-a224-187dcd0d52a7","1560706449861","UY","Montevideo","Av. Millán","WEATHERHAZARD","HAZARD_WEATHER_FLOOD",,"-56.232357","-34.828459","0","5","3","0","114",
"2019-06-16 18:22:00.000","2019","6","16","18","4_old","2b995b76-2aa5-3fbd-a224-187dcd0d52a7","1560706449861","UY","Montevideo","Av. Millán","WEATHERHAZARD","HAZARD_WEATHER_FLOOD",,"-56.232357","-34.828459","0","5","3","0","114",
"2019-06-16 17:48:00.000","2019","6","16","17","4_old","2b995b76-2aa5-3fbd-a224-187dcd0d52a7","1560706449861","UY","Montevideo","Av. Millán","WEATHERHAZARD","HAZARD_WEATHER_FLOOD",,"-56.232357","-34.828459","0","5","3","0","114",
"2019-06-16 17:44:00.000","2019","6","16","17","4_old","2b995b76-2aa5-3fbd-a224-187dcd0d52a7","1560706449861","UY","Montevideo","Av. Millán","WEATHERHAZARD","HAZARD_WEATHER_FLOOD",,"-56.232357","-34.828459","0","5","3","0","114",
"2019-06-16 17:33:00.000","2019","6","16","17","4_old","2b995b76-2aa5-3fbd-a224-187dcd0d52a7","1560706449861","UY","Montevideo","Av. Millán","WEATHERHAZARD","HAZARD_WEATHER_FLOOD",,"-56.232357","-34.828459","0","5","3","0","114",
"2019-06-16 17:47:00.000","2019","6","16","17","4_old","2b995b76-2aa5-3fbd-a224-187dcd0d52a7","1560706449861","UY","Montevideo","Av. Millán","WEATHERHAZARD","HAZARD_WEATHER_FLOOD",,"-56.232357","-34.828459","0","5","3","0","114",
"2019-06-16 02:03:00.000","2019","6","16","2","4_old","aa78340c-d6f8-3411-8171-bc24d0ea4be9","1560647354173","UY","Montevideo","Av. Italia","WEATHERHAZARD","HAZARD_WEATHER_FLOOD","2","-56.070735","-34.878571","0","5","3","0","249",
